Offer Title,Description,Image,Link,Coupon Code,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Get Flat 10% Off on International Hotels with AU Bank Credit Cards,Hotels,,https://www.ixigo.com/offers/au-int-hotels,,AU Spont Credit Card,,,,
Get Flat 10% Off on International Hotels with AU Bank Credit Cards,Hotels,,https://www.ixigo.com/offers/au-int-hotels,,AU Xcite Ace Credit Card,,,,
Get Flat 10% Off on International Hotels with AU Bank Credit Cards,Hotels,,https://www.ixigo.com/offers/au-int-hotels,,AU Xcite Ultra Credit Card,,,,
Get Flat 10% Off on International Hotels with AU Bank Credit Cards,Hotels,,https://www.ixigo.com/offers/au-int-hotels,,AU Kosmo Credit Card,,,,
Get Flat 10% Off on International Hotels with AU Bank Credit Cards,Hotels,,https://www.ixigo.com/offers/au-int-hotels,,AU Zenith Credit Card,,,,
Get Flat 10% Off on International Hotels with AU Bank Credit Cards,Hotels,,https://www.ixigo.com/offers/au-int-hotels,,AU Bank Zenith+ Credit Card,,,,
Up to 12% Off on Domestic Flights with RBL Bank Credit Card & Credit Card EMI,Hotels,,https://www.ixigo.com/offers/rbl-cc-emi-dom-hotel,,RBL Bank VCard,,,,
Up to 12% Off on Domestic Flights with RBL Bank Credit Card & Credit Card EMI,Hotels,,https://www.ixigo.com/offers/rbl-cc-emi-dom-hotel,,RBL Bank Cookie Credit Card,,,,
Up to 12% Off on Domestic Flights with RBL Bank Credit Card & Credit Card EMI,Hotels,,https://www.ixigo.com/offers/rbl-cc-emi-dom-hotel,,RBL Bank Shoprite Credit Card,,,,
Up to 12% Off on Domestic Flights with RBL Bank Credit Card & Credit Card EMI,Hotels,,https://www.ixigo.com/offers/rbl-cc-emi-dom-hotel,,RBL Platinum Maxima Plus Card,,,,
Up to 12% Off on Domestic Flights with RBL Bank Credit Card & Credit Card EMI,Hotels,,https://www.ixigo.com/offers/rbl-cc-emi-dom-hotel,,RBL Bank MoneyTap Black Card,,,,
Up to 12% Off on Domestic Flights with RBL Bank Credit Card & Credit Card EMI,Hotels,,https://www.ixigo.com/offers/rbl-cc-emi-dom-hotel,,RBL Bank Platinum Maxima Credit Card,,,,
Up to 12% Off on Domestic Flights with RBL Bank Credit Card & Credit Card EMI,Hotels,,https://www.ixigo.com/offers/rbl-cc-emi-dom-hotel,,RBL Bank Movies and More Credit Card,,,,
Up to 12% Off on Domestic Flights with RBL Bank Credit Card & Credit Card EMI,Hotels,,https://www.ixigo.com/offers/rbl-cc-emi-dom-hotel,,RBL Bank Paisabazaar Duet Plus Card,,,,
Up to 12% Off on Domestic Flights with RBL Bank Credit Card & Credit Card EMI,Hotels,,https://www.ixigo.com/offers/rbl-cc-emi-dom-hotel,,RBL Bank Bankbazaar Savemax Pro Credit Card,,,,
Up to 12% Off on Domestic Flights with RBL Bank Credit Card & Credit Card EMI,Hotels,,https://www.ixigo.com/offers/rbl-cc-emi-dom-hotel,,RBL Bank Bankbazaar Savemax Credit Card,,,,
Up to 12% Off on Domestic Flights with RBL Bank Credit Card & Credit Card EMI,Hotels,,https://www.ixigo.com/offers/rbl-cc-emi-dom-hotel,,RBL Bank iGlobe Credit Card,,,,
Up to 12% Off on Domestic Flights with RBL Bank Credit Card & Credit Card EMI,Hotels,,https://www.ixigo.com/offers/rbl-cc-emi-dom-hotel,,RBL Bank Insignia Preferred Banking Card,,,,
Up to 12% Off on Domestic Flights with RBL Bank Credit Card & Credit Card EMI,Hotels,,https://www.ixigo.com/offers/rbl-cc-emi-dom-hotel,,RBL Bank Play Credit Card,,,,
Up to 12% Off on Domestic Flights with RBL Bank Credit Card & Credit Card EMI,Hotels,,https://www.ixigo.com/offers/rbl-cc-emi-dom-hotel,,RBL Bank World Safari Credit Card,,,,
Up to 12% Off on Domestic Flights with RBL Bank Credit Card & Credit Card EMI,Hotels,,https://www.ixigo.com/offers/rbl-cc-emi-dom-hotel,,RBL Bank Platinum Delight Credit Card,,,,
Up to 12% Off on Domestic Flights with RBL Bank Credit Card & Credit Card EMI,Hotels,,https://www.ixigo.com/offers/rbl-cc-emi-dom-hotel,,RBL Bank Monthly Treats Credit Card,,,,
Up to 12% Off on Domestic Flights with RBL Bank Credit Card & Credit Card EMI,Hotels,,https://www.ixigo.com/offers/rbl-cc-emi-dom-hotel,,RBL Bank Lazy Pay Credit Card,,,,
