Offer Image,Offer Title,Offer Description,Coupon Code,Offer Link,Eligible Credit Cards
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Club Vistara SBI Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Central Bank of India SBI Elite Credit Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Paytm SBI Credit Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,BPCL SBI Credit Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Lifestyle Home Centre SBI Card Select
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Yatra SBI Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,BPCL SBI Card Octane
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Reliance SBI Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Spar SBI Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Max SBI Card Select
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,SimplySave SBI Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Central Bank of India SBI Prime Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,IRCTC SBI Platinum Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Apollo SBI Card Select
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Simplyclick SBI Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Lifestyle Home Centre SBI Card Prime
